loss,train,estimators,train_time,params,iteration
-0.7623232079117088,-0.7757234647495199,28.4,1.438884249282637,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8369968808380446, 'learning_rate': 0.01771730787629156, 'min_child_samples': 340, 'num_leaves': 127, 'reg_alpha': 0.2374700647125606, 'reg_lambda': 0.23470784936393085, 'subsample_for_bin': 240000, 'subsample': 1.0}",53
-0.7701291923164968,-0.8065615961996467,210.0,8.852974038180037,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.9337976068514341, 'learning_rate': 0.04097187412225216, 'min_child_samples': 450, 'num_leaves': 145, 'reg_alpha': 0.2884285900899307, 'reg_lambda': 0.7531373844840611, 'subsample_for_bin': 180000, 'subsample': 0.6663976516806359}",54
-0.7706210136412027,-0.8006494863941269,226.6,2.068509032820657,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9089161044533468, 'learning_rate': 0.03355814980416437, 'min_child_samples': 415, 'num_leaves': 96, 'reg_alpha': 0.5369275232730917, 'reg_lambda': 0.048963481783765084, 'subsample_for_bin': 140000, 'subsample': 1.0}",55
-0.7686009631319868,-0.8258554261784349,222.4,2.6610587480345202,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.8589073193691801, 'learning_rate': 0.020497364324579954, 'min_child_samples': 485, 'num_leaves': 103, 'reg_alpha': 0.3804682946067879, 'reg_lambda': 0.3846546341229476, 'subsample_for_bin': 160000, 'subsample': 0.8214171152197924}",56
-0.7635929794511904,-0.8108469361265097,374.8,14.18497143039167,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.8852468504532006, 'learning_rate': 0.027200124057397513, 'min_child_samples': 340, 'num_leaves': 115, 'reg_alpha': 0.1969442245441863, 'reg_lambda': 0.8561793283818935, 'subsample_for_bin': 40000, 'subsample': 0.8802205757246618}",57
-0.7676665197300487,-0.8474230824414652,75.8,1.6196356606960762,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9704681852317572, 'learning_rate': 0.05060602826911641, 'min_child_samples': 180, 'num_leaves': 129, 'reg_alpha': 0.4657581823257365, 'reg_lambda': 0.6394373941721209, 'subsample_for_bin': 120000, 'subsample': 1.0}",58
-0.7664877695057063,-0.8758191381884499,132.4,2.1025109624915785,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9447607729719156, 'learning_rate': 0.040004285543456454, 'min_child_samples': 135, 'num_leaves': 108, 'reg_alpha': 0.5860470938234601, 'reg_lambda': 0.6880930547602441, 'subsample_for_bin': 60000, 'subsample': 1.0}",59
-0.7701621858545049,-0.8756039284930566,98.0,2.192501245866879,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7513448168160511, 'learning_rate': 0.06340551086270857, 'min_child_samples': 250, 'num_leaves': 135, 'reg_alpha': 0.656159153977078, 'reg_lambda': 0.806684262108787, 'subsample_for_bin': 100000, 'subsample': 0.7058313963935585}",60
-0.7640719495614451,-0.7962107234743822,717.4,21.74758734153602,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.781688345312847, 'learning_rate': 0.015333078041721286, 'min_child_samples': 295, 'num_leaves': 124, 'reg_alpha': 0.31147320293224884, 'reg_lambda': 0.740614903360229, 'subsample_for_bin': 260000, 'subsample': 0.553819182305272}",61
-0.7711619331676243,-0.81331185846167,223.0,2.3290613558219775,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9840383173028459, 'learning_rate': 0.07730451061028513, 'min_child_samples': 400, 'num_leaves': 98, 'reg_alpha': 0.11756349061211133, 'reg_lambda': 0.5479011141409168, 'subsample_for_bin': 220000, 'subsample': 1.0}",62
